Converted?,Avg Policy Size,Grid State,Years Positive,Operating Acreage,Rain Index Variance,Distance to Nearest Customer (Miles)
0,77685,KS,15,5797.37,0.30017406,
1,2864,UT,12,2526.78,0.20240279,
1,,NE,0,,,
1,,TX,0,,,
1,16012,SD,10,2087.61,0.30845878,
1,73505,CA,11,12482,0.51253652,
1,43703,UT,13,20486,0.36084705,
1,4573,UT,12,2856,0.35062873,0
1,25703,KS,9,2375.04,0.3655175,
1,24625,OK,10,3104,0.22683131,10
1,3289,WY,14,1669,0.34326682,6.4
1,195829,AZ,13,74724,0.44595826,21.8
1,19309,TX,12,2839.54,0.33464733,
1,109951,NM,11,40226,0.40949917,
1,44404,NM,13,20600,0.1966257,
1,,NV,0,,,
1,1419,WY,10,809,0.31327185,0
1,,NE,0,,,
0,,TX,0,,,
1,21522,WY,11,10413.96,0.43324253,
1,13566,MT,5,7509,0.3658396,12.3
1,109951,NM,11,40226,0.40949917,
1,33328,NE,8,8063.12,0.31348394,
1,43703,UT,13,20486,0.36084705,
0,22212,NE,15,7188.35,0.24325153,
0,277455,TX,13,85517,0.69300423,
0,77685,KS,15,5797.37,0.30017406,
1,59159,CA,11,13179,0.27658118,
0,,UT,15,,0.48765866,
0,,WY,15,,,
1,,NE,0,,,
0,69789,NM,13,28550,0.24396184,
1,24625,OK,10,3104,0.22683131,10
1,2864,UT,12,2526.78,0.20240279,
1,272907,CA,14,47972,0.46500773,
0,13130,CO,13,4321,0.48268929,
1,73505,CA,11,12482,0.51253652,
1,16012,SD,10,2087.61,0.30845878,
0,23094,NE,13,5805.72,0.22569357,
1,,OR,0,,,
1,,TX,0,,,
1,288,ID,10,80,0.57596675,
1,,OR,15,,,
1,1419,WY,10,809,0.31327185,0
1,4573,UT,12,2856,0.35062873,0
0,,UT,15,,,
1,33967,AZ,13,14152.79,0.43609217,
1,16157,UT,12,9203.36,0.98707798,
1,19309,TX,12,2839.54,0.33464733,
1,,NV,15,,,
0,252653,UT,13,113694,0.38262329,
0,,TX,0,,,
1,,NV,0,,,
0,,KS,15,,,
0,,TX,0,,,
1,1032,WY,14,638,0.26415206,
0,,OK,15,,,
1,414476,NM,13,127749.43,0.69300423,
1,,NE,0,,,
1,3289,WY,14,1669,0.34326682,6.4
1,195829,AZ,13,74724,0.44595826,21.8
1,25703,KS,9,2375.04,0.3655175,
1,,CA,0,,,
1,59200,CA,13,5322,0.55833815,9
0,18835,NV,12,6726.66,0.25333295,
0,,UT,15,,,
0,3107,CO,11,1451,0.30505431,30.7
0,236565,UT,13,102360,0.45249553,
1,44404,NM,13,20600,0.1966257,
1,16119,CA,12,2077.19,0.94507107,
0,7502,CO,9,3037,0.34680007,18.4
0,3688,WY,11,1734,0.38981435,1.6
1,64584,ID,13,8915,0.19044764,
0,12479,TN,11,2088,0.13240047,166.5
0,67667,ID,11,13841,0.33015593,
0,144495,UT,11,65097,0.37809325,0
0,2763,MT,7,1207.31,0.30240473,
1,,NV,15,,0.3890873,
0,,UT,15,,,
0,28649,AZ,13,10072,0.42413762,
0,156764,UT,14,59783,0.50250842,
0,3346,CO,8,1342,0.34145816,0.1
0,,CA,15,,1.01242352,
1,490526,WY,14,282996,0.26139455,
0,11235,MT,10,5462,0.39724256,8.7
0,4095,ID,11,740,0.55107955,
0,23167,ID,14,4696,0.33780061,
0,,UT,15,,,
0,236361,IL,12,20118,0.18769899,443.3
0,291304,AZ,13,128147,0.79024501,6
0,21060,CA,12,1287.66,1.87045539,
0,,SD,15,,,
0,74739,NV,11,23036,0.42874463,
0,2500,WY,13,1275,0.469325,0
0,63647,UT,15,39935,1.07941149,0
0,16854,OR,11,4159,0.30843644,0
0,55622,TX,13,7494,0.47327338,
0,105095,NM,14,41485,0.35194457,
0,166382,NM,12,49584,1.10165222,
1,,TX,15,,,
0,,TX,15,,,
0,271011,NM,15,91011,0.35776468,
0,30948,KS,11,3794,0.3793015,1.6
0,7853,NM,13,2655,0.39768836,6.4
0,1358802,NM,14,402277,0.28869838,
1,144000,NV,13,50000,0.44649257,
0,,NV,15,,,
0,,UT,15,,,
0,,ID,15,,,
0,43578,NM,13,15943,0.76056887,
0,5880,MT,9,2172,0.66613034,0
0,46068,AZ,14,16635,0.40980752,2
0,102072,NM,13,39597,0.32058382,
0,17552,MT,11,4229,0.2832136,67.5
0,45660,WY,13,26302,0.37212177,24.5
0,7645,UT,10,3624,0.51863879,14.9
0,5306,AZ,13,2274,0.35907337,
0,69757,SD,11,22197,0.35183312,10.2
0,22390,NM,13,7519,0.47528957,
0,,UT,15,,,
0,,NM,15,,0.93152256,
0,,UT,15,,,
0,,ID,15,,0.23515032,
0,,OR,15,,0.3078604,
0,64440,OR,13,5169,0.3618097,
0,206003,NM,13,64376,0.54986778,
0,9368,MT,10,3282,0.32837382,19.1
1,145629,TX,13,17291,0.63871504,
0,15537,TX,11,2551.63,0.84319177,
0,5476,NM,13,1599,0.49770806,19.8
0,92371,TX,10,16049,0.67171578,
0,2578374,ID,13,651836,0.3162189,
0,61982,MT,11,28461,0.41834945,
0,22383,CA,12,3816,2.14826557,2.5
0,1735,MT,10,640,0.29004987,2.2
1,273971,OR,11,77539,0.82089472,
0,,CA,15,,,
0,48452,CO,13,25353,0.30016306,
0,147104,NV,13,93235,0.39064064,
1,750402,NV,11,192406,0.48739787,
0,2664954,NV,15,825362,0.42322001,0
0,1145496,UT,12,234500,0.34838096,
1,668179,NV,9,54694,0.3715531,
1,7196237,NV,13,1115277,0.44649257,
1,205562,UT,13,149198,0.23619793,
0,352654,UT,14,178308,0.32420434,
0,527150,UT,13,304125,0.33149076,
0,1515529,NV,12,457710,0.56933416,
0,64648,UT,13,64648,0.36226051,
0,148039,NM,14,45012,0.81052099,
0,9841,WY,12,6968,0.39530578,4.3
0,26132,ID,9,7490,0.2421052,
0,59116,ID,11,12092,0.33015593,
1,,TX,15,,,
0,1150,WY,6,645,0.30237399,16.1
0,14171,ND,8,3105,0.41766869,35.9
0,110222,UT,11,43508.87,0.66417715,
1,94167,UT,13,68347,0.23283079,
1,,TX,15,,0.54830634,
0,,MT,15,,0.37111191,
0,8385,NM,14,2562,0.54986778,0.1
0,101298,MT,10,36178,0.14335946,
0,150970,ID,11,25039,0.33776327,3.4
0,11945,ID,9,2845,0.35771076,20.7
0,1847852,OR,13,265338,0.24784947,
0,4269,WY,12,2596,0.28112304,21.8
0,3840,WY,8,3134,0.24367356,18.4
0,42405,UT,12,30289,0.37883142,
0,2635,ID,9,644,0.64680801,8.3
0,,UT,15,,,
0,,UT,15,,,
0,3948,ID,13,638,0.41672033,5.2
0,55627,AZ,10,12837,0.34437336,
0,,WY,15,,0.38154443,
0,16488,ID,12,2669,0.39958001,
0,57938,OK,11,6739,0.3874545,18.8
0,,NV,15,,,
0,,UT,15,,,
0,,WY,15,,,
0,,NV; OR,15,,,
0,,UT,15,,,
0,133382,CO,12,46892,0.24593243,
0,18555,NE,13,1711,0.25821356,
0,15016,CO,12,4372,0.33884821,15.7
0,452424,ID,10,75404,0.34298651,
0,10408,CO,14,3230,0.55679467,
0,7978,CO,13,2827,0.36805719,
0,6285,ID,11,1607,0.34160113,
0,5372,CO,9,2442,0.32838192,
0,12556,OR,12,1579,0.21038364,12.1
0,33756,KS,11,4039.98,0.38784584,
0,121549,UT,11,56976.13,0.36084705,
0,8138,NM,13,2579,1.16694464,
0,,MT,15,,,
0,,UT,15,,0.37417565,
0,265677,UT,15,124536,0.37407634,
0,3670,WY,12,1979,0.46342576,0
0,56922,ID,8,14152,0.29822535,
0,48401,ID,13,11524,0.29086908,
0,958909,OR,13,42090,0.21941787,
0,121169,NM,12,43621,0.63174908,
0,31371,NE,14,5190,0.32580357,
0,15770,CO,12,9407,0.291774,5.2
0,1355993,ID,14,421762,0.34144947,
0,6067,WY,11,3125,0.36402128,28.8
0,,WY,15,,,
0,5263,MT,10,2809,0.3088937,6.3
0,9719,WY,12,4754,0.32052079,
1,,UT,15,,,
